source,title,authors,institution,text,ref
"Department of Biochemistry, University of Utah School of Medicine, 50 N. Medical Drive Rm 211, Salt Lake City, UT 84132, USA. Tim.Formosa@hsc.utah.edu","Yeast Spt16/Cdc68 and Pob3 form a heterodimer that acts in both DNA replication and transcription. This is supported by studies of new alleles of SPT16 described here. We show that Spt16-Pob3 enhances HO transcription through a mechanism that is affected by chromatin modification, since some of the defects caused by mutations can be suppressed by deleting the histone deacetylase Rpd3. While otherwise conserved among many eukaryotes, Pob3 lacks the HMG1 DNA-binding motif found in similar proteins such as the SSRP1 subunit of human FACT. SPT16 and POB3 display strong genetic interactions with NHP6A/B, which encodes an HMG1 motif, suggesting that these gene products function coordinately in vivo. While Spt16-Pob3 and Nhp6 do not appear to form stable heterotrimers, Nhp6 binds to nucleosomes and these Nhp6-nucleosomes can recruit Spt16-Pob3 to form SPN-nucleosomes. These complexes have altered electrophoretic mobility and a distinct pattern of enhanced sensitivity to DNase I. These results suggest that Spt16-Pob3 and Nhp6 cooperate to function as a novel nucleosome reorganizing factor.",PMID: 11432837 [PubMed - indexed for MEDLINE],,,156: Eur J Biochem  2001 Jul;268(13):3674-84 
"Department of Biochemistry and Molecular Biology, Indiana University School of Medicine, Indianapolis, USA.","An important defense against viral infection involves inhibition of translation by PKR phosphorylation of the alpha subunit of eIF2. Binding of viral dsRNAs to two dsRNA-binding domains (dsRBDs) in PKR leads to relief of an inhibitory region and activation of eIF2 kinase activity. Interestingly, while deletion of the regulatory region of PKR significantly induces activity in vitro, the truncated kinase does not inhibit translation in vivo, suggesting that these sequences carry out additional functions required for PKR control. To delineate these functions and determine the order of events leading to activation of PKR, we fused truncated PKR to domains of known function and assayed the chimeras for in vivo activity. We found that fusion of a heterologous dimerization domain with the PKR catalytic domain enhanced autophosphorylation and eIF2 kinase function in vivo. The dsRBDs also mediate ribosome association and we proposed that such targeting increases the localized concentration of PKR, enhancing interaction between PKR molecules. We addressed this premise by linking the truncated PKR to RAS sequences mediating farnesylation and membrane localization and found that the fusion protein was functional in vivo. These results indicate that cellular localization along with oligomerization enhances interaction between PKR molecules. Alanine substitution for the phosphorylation site, threonine 446, impeded in vivo and in vitro activity of the PKR fusion proteins, while aspartate or glutamate substitutions partially restored the function of the truncated kinase. These results indicate that both dimerization and cellular localization play a role in transient protein-protein interactions and that trans-autophosphorylation is the final step in the mechanism of activation of PKR.",PMID: 11432733 [PubMed - indexed for MEDLINE],,,157: J Biol Chem  2001 Aug 31;276(35):32474-9 
"Centro de Biologia Molecular, Consejo Superior de Investigaciones Cientificas and Universidad Autonoma de Madrid, Canto Blanco, 28049 Madrid, Spain.","The Saccharomyces cerevisiae ribosomal stalk is made of five components, the 32-kDa P0 and four 12-kDa acidic proteins, P1alpha, P1beta, P2alpha, and P2beta. The P0 carboxyl-terminal domain is involved in the interaction with the acidic proteins and resembles their structure. Protein chimeras were constructed in which the last 112 amino acids of P0 were replaced by the sequence of each acidic protein, yielding four fusion proteins, P0-1alpha, P0-1beta, P0-2alpha, and P0-2beta. The chimeras were expressed in P0 conditional null mutant strains in which wild-type P0 is not present. In S. cerevisiae D4567, which is totally deprived of acidic proteins, the four fusion proteins can replace the wild-type P0 with little effect on cell growth. In other genetic backgrounds, the chimeras either reduce or increase cell growth because of their effect on the ribosomal stalk composition. An analysis of the stalk proteins showed that each P0 chimera is able to strongly interact with only one acidic protein. The following associations were found: P0-1alpha.P2beta, P0-1beta.P2alpha, P0-2alpha.P1beta, and P0-2beta.P1alpha. These results indicate that the four acidic proteins do not form dimers in the yeast ribosomal stalk but interact with each other forming two specific associations, P1alpha.P2beta and P1beta.P2alpha, which have different structural and functional roles.",PMID: 11431471 [PubMed - indexed for MEDLINE],,,158: Nature  2001 Jun 28;411(6841):1073-6 
"Ludwig Institute for Cancer Research, University of California San Diego, 92093, USA.","Gross chromosome rearrangements (GCRs), such as translocations, deletion of a chromosome arm, interstitial deletions and inversions, are often observed in cancer cells. Spontaneous GCRs are rare in Saccharomyces cerevisiae; however, the existence of mutator mutants with increased genome instability suggests that GCRs are actively suppressed. Here we show by genetic analysis that these genome rearrangements probably result from DNA replication errors and are suppressed by at least three interacting pathways or groups of proteins: S-phase checkpoint functions, recombination proteins and proteins that prevent de novo addition of telomeres at double-strand breaks (DSBs). Mutations that inactivate these pathways cause high rates of GCRs and show synergistic interactions, indicating that the pathways that suppress GCRs all compete for the same DNA substrates.",PMID: 11429610 [PubMed - indexed for MEDLINE],,,159: Mutat Res  2001 Jul 12;486(2):137-46 
"Institute of Radiation Biology, GSF-National Research Center for Environment and Health, P.O. Box 1149, 85758, Oberschleissheim, Germany. anna.friedl@lrz.uni-muenchen.de","The Saccharomyces cerevisiae genes RAD5, RAD18, and SRS2 are proposed to act in post-replicational repair of DNA damage. We have investigated the genetic interactions between mutations in these genes with respect to cell survival and ectopic gene conversion following treatment of logarithmic and early stationary cells with UV- and gamma-rays. We find that the genetic interaction between the rad5 and rad18 mutations depends on DNA damage type and position in the cell cycle at the time of treatment. Inactivation of SRS2 suppresses damage sensitivity both in rad5 and rad18 mutants, but only when treated in logarithmic phase. When irradiated in stationary phase, the srs2 mutation enhances the sensitivity of rad5 mutants, whereas it has no effect on rad18 mutants. Irrespective of the growth phase, the srs2 mutation reduces the frequency of damage-induced ectopic gene conversion in rad5 and rad18 mutants. In addition, we find that srs2 mutants exhibit reduced spontaneous and UV-induced sister chromatid recombination (SCR), whereas rad5 and rad18 mutants are proficient for SCR. We propose a model in which the Srs2 protein has pro-recombinogenic or anti-recombinogenic activity, depending on the context of the DNA damage.",PMID: 11425518 [PubMed - indexed for MEDLINE],,,160: RNA  2001 Jun;7(6):833-45 
"Institute of Molecular Biophysics, Florida State University, Tallahassee 32306-4380, USA.","The removal of noncoding sequences (introns) from eukaryotic precursor mRNA is catalyzed by the spliceosome, a dynamic assembly involving specific and sequential RNA-RNA and RNA-protein interactions. An essential RNA-RNA pairing between the U2 small nuclear (sn)RNA and a complementary consensus sequence of the intron, called the branch site, results in positioning of the 2'OH of an unpaired intron adenosine residue to initiate nucleophilic attack in the first step of splicing. To understand the structural features that facilitate recognition and chemical activity of the branch site, duplexes representing the paired U2 snRNA and intron sequences from Saccharomyces cerevisiae were examined by solution NMR spectroscopy. Oligomers were synthesized with pseudouridine (psi) at a conserved site on the U2 snRNA strand (opposite an A-A dinucleotide on the intron strand, one of which forms the branch site) and with uridine, the unmodified analog. Data from NMR spectra of nonexchangeable protons demonstrated A-form helical backbone geometry and continuous base stacking throughout the unmodified molecule. Incorporation of psi at the conserved position, however, was accompanied by marked deviation from helical parameters and an extrahelical orientation for the unpaired adenosine. Incorporation of psi also stabilized the branch-site interaction, contributing -0.7 kcal/mol to duplex deltaG degrees 37. These findings suggest that the presence of this conserved U2 snRNA pseudouridine induces a change in the structure and stability of the branch-site sequence, and imply that the extrahelical orientation of the branch-site adenosine may facilitate recognition of this base during splicing.",PMID: 11424937 [PubMed - indexed for MEDLINE],,,161: Traffic  2001 Jul;2(7):476-86 
"Division of Cellular and Molecular Medicine and Howard Hughes Medical Institute, University of California, San Diego, La Jolla, California 92093-0668, USA.","The Class C Vps complex, consisting of Vps11, Vps16, Vps18, and Vps33, is required for SNARE-mediated membrane fusion at the lysosome-like yeast vacuole. However, Class C vps mutants display more severe and pleiotropic phenotypes than mutants specifically defective in endosome-to-vacuole transport, suggesting that there are additional functions for the Class C Vps complex. A SNARE double mutant which is defective for both Golgi-to-endosome and endosome-to-vacuole trafficking replicates many of the phenotypes observed in Class C vps mutants. We show that genetic interactions exist between Class C vps alleles and alleles of the Class D vps group, which are defective in the docking and fusion of Golgi-derived vesicles at the endosome. Moreover, the Class D protein Vac1 was found to physically bind to the Class C Vps complex through a direct association with Vps11. Finally, using a random mutagenic screen, a temperature-conditional allele which shares many of the phenotypes of mutants which are selectively defective in Golgi-to-endosome trafficking was isolated (vps11-3ts). Collectively, these results indicate that the Class C Vps complex plays essential roles in the processes of membrane docking and fusion at both the Golgi-to-endosome and endosome-to-vacuole stages of transport.",PMID: 11422941 [PubMed - indexed for MEDLINE],,,162: Mol Biol Evol  2001 Jul;18(7):1283-92 
"Department of Biology, University of New Mexico, Albequerque, New Mexico 87131-1091, USA. wagnera@unm.edu","In this paper, the structure and evolution of the protein interaction network of the yeast Saccharomyces cerevisiae is analyzed. The network is viewed as a graph whose nodes correspond to proteins. Two proteins are connected by an edge if they interact. The network resembles a random graph in that it consists of many small subnets (groups of proteins that interact with each other but do not interact with any other protein) and one large connected subnet comprising more than half of all interacting proteins. The number of interactions per protein appears to follow a power law distribution. Within approximately 200 Myr after a duplication, the products of duplicate genes become almost equally likely to (1) have common protein interaction partners and (2) be part of the same subnetwork as two proteins chosen at random from within the network. This indicates that the persistence of redundant interaction partners is the exception rather than the rule. After gene duplication, the likelihood that an interaction gets lost exceeds 2.2 x 10(-3)/Myr. New interactions are estimated to evolve at a rate that is approximately three orders of magnitude smaller. Every 300 Myr, as many as half of all interactions may be replaced by new interactions.",PMID: 11420367 [PubMed - indexed for MEDLINE],,,163: Mol Cell Biol  2001 Jul;21(14):4568-78 
"Department of Biomedical Sciences, State University of New York at Albany School of Public Health, Albany, New York 12201-2002, USA.","Chromatin-modifying enzymes such as the histone acetyltransferase GCN5 can contribute to transcriptional activation at steps subsequent to the initial binding of transcriptional activators. However, few studies have directly examined dependence of chromatin remodeling in vivo on GCN5 or other acetyltransferases, and none have examined remodeling via nucleosomal activator binding sites. In this study, we have monitored chromatin perturbation via nucleosomal binding sites in the yeast episome TALS by GAL4 derivatives in GCN5(+) and gcn5Delta yeast cells. The strong activator GAL4 shows no dependence on GCN5 for remodeling TALS chromatin, whereas GAL4-estrogen receptor-VP16 shows substantial, albeit not complete, GCN5 dependence. Mini-GAL4 derivatives having weakened interactions with TATA-binding protein and TFIIB exhibit a strong dependence on GCN5 for both transcriptional activation and TALS remodeling not seen for native GAL4. These results indicate that GCN5 can contribute to chromatin remodeling at activator binding sites and that dependence on coactivator function for a given activator can vary according to the type and strength of contacts that it makes with other factors. We also found a weaker dependence for chromatin remodeling on SPT7 than on GCN5, indicating that GCN5 can function via pathways independent of the SAGA complex. Finally, we examine dependence on GCN5 and SWI-SNF at two model promoters and find that although these two chromatin-remodeling and/or modification activities may sometimes work together, in other instances they act in complementary fashion.",PMID: 11416135 [PubMed - indexed for MEDLINE],,,164: Biochem J  2001 Jul 1;357(Pt 1):83-95 
"Department of Neurobiology, Max Planck Institute for Biophysical Chemistry, Am Fassberg 11, D37077 Gottingen, Germany.","The rat luminal endoplasmic-recticulum calcium-binding proteins 1 and 2 (CaBP1 and CaBP2 respectively) are members of the protein disulphide-isomerase (PDI) family. They contain two and three thioredoxin boxes (Cys-Gly-His-Cys) respectively and, like PDI, may be involved in the folding of nascent proteins. We demonstrate here that CaBP1, similar to PDI and CaBP2, can complement the lethal phenotype of the disrupted Saccharomyces cerevisiae PDI gene, provided that the natural C-terminal Lys-Asp-Glu-Leu sequence is replaced by His-Asp-Glu-Leu. Both the in vitro RNase AIII-re-activation assays and in vivo pro-(carboxypeptidase Y) processing assays using CaBP1 and CaBP2 thioredoxin (trx)-box mutants revealed that, whereas the three trx boxes in CaBP2 seem to be functionally equivalent, the first trx box of CaBP1 is significantly more active than the second trx box. Furthermore, only about 65% re-activation of denatured reduced RNase AIII could be obtained with CaBP1 or CaBP2 compared with PDI, and the yield of PDI-catalysed reactions was significantly reduced in the presence of either CaBP1 or CaBP2. In contrast with PDI, neither CaBP1 nor CaBP2 could catalyse the renaturation of denatured glyceraldehyde-3-phosphate dehydrogenase (GAPDH), which is a redox-independent process, and neither protein had any effect on the PDI-catalysed refolding of GAPDH. Furthermore, although PDI can bind peptides via its b' domain, a property it shares with PDIp, the pancreas-specific PDI homologue, and although PDI can bind malfolded proteins such as 'scrambled' ribonuclease, no such interactions could be detected for CaBP2. We conclude that: (1) both CaBP2 and CaBP1 lack peptide-binding activity for GAPDH attributed to the C-terminal region of the a' domain of PDI; (2) CaBP2 lacks the general peptide-binding activity attributed to the b' domain of PDI; (3) interaction of CaBP2 with substrate (RNase AIII) is different from that of PDI and substrate; and (4) both CaBP2 and CaBP1 may promote oxidative folding by different kinetic pathways.",PMID: 11415439 [PubMed - indexed for MEDLINE],,,165: Biochem Biophys Res Commun  2001 Jun 22;284(4):1083-9 
"Institute of Biological Sciences and Gene Experiment Center, University of Tsukuba, Ibaraki, Tsukuba Science City, 305-8572, Japan.","Clathrin adaptor protein (AP) complexes are heterotetramers composed of two large, one medium, and one small subunits. By exploiting the yeast three-hybrid system, we have found that an interaction between the two large subunits of the AP-1 complex, gamma-adaptin and beta1-adaptin, is markedly enhanced in the presence of the small subunit, sigma1. Similarly, two large subunits of the AP-4 complex, epsilon-adaptin and beta4-adaptin, are found to interact with each other only in the presence of the small subunit, sigma4. Furthermore, we have found that an interaction between two large subunits of the COPI F subcomplex, gamma-COP and beta-COP, is detectable only in the presence of zeta-COP. Because these COPI subunits have common ancestral origins to the corresponding AP subunits, these three-hybrid data, taken together with the previous two-hybrid data, suggest that the AP complexes and the COPI F subcomplex assemble by virtue of similar subunit interactions. Copyright 2001 Academic Press.",PMID: 11409905 [PubMed - indexed for MEDLINE],,,166: FEBS Lett  2001 Jun 8;498(2-3):150-6 
"Institute of Microbiology, Centre Hospitalier Universitaire Vaudois, 44, rue du Bugnon, 1011, Lausanne, Switzerland.","Export of mRNA through nuclear pore complexes (NPC) is preceded by multiple and well coordinated processing steps, resulting in the formation of an export competent ribonucleoprotein complex (mRNP). Numerous factors involved in the translocation of the mRNP through the NPC and its release into the cytoplasm have been isolated mainly through genetic approaches in yeast, and putative functional homologues have been identified in metazoan systems. Understanding the mechanism of mRNA export relies, in part, on the functional characterization of these factors and the establishment of a complete network of molecular interactions. Here we summarize recent progress in the characterization of yeast and mammalian components implicated in the export of an mRNA from the nucleus to the cytoplasm.","Publication Types: Review Review, Tutorial",PMID: 11412847 [PubMed - indexed for MEDLINE],,
"Gillette TG, Huang W, Russell SJ, Reed SH, Johnston SA, Friedberg EC.","Laboratory of Molecular Pathology, Department of Pathology, University of Texas Southwestern Medical Center, Dallas, TX 75390-9072, USA.","Previous studies suggest that the amino-terminal ubiquitin-like (ubl) domain of Rad23 protein can recruit the proteasome for a stimulatory role during nucleotide excision repair in the yeast Saccharomyces cerevisiae. In this report, we show that the 19S regulatory complex of the yeast proteasome can affect nucleotide excision repair independently of Rad23 protein. Strains with mutations in 19S regulatory subunits (but not 20S subunits) of the proteasome promote partial recovery of nucleotide excision repair in vivo in rad23 deletion mutants, but not in other nucleotide excision repair-defective strains tested. In addition, a strain that expresses a temperature-degradable ATPase subunit of the 19S regulatory complex manifests a dramatically increased rate of nucleotide excision repair in vivo. These data indicate that the 19S regulatory complex of the 26S proteasome can negatively regulate the rate of nucleotide excision repair in yeast and suggest that Rad23 protein not only recruits the 19S regulatory complex, but also can mediate functional interactions between the 19S regulatory complex and the nucleotide excision repair machinery. The 19S regulatory complex of the yeast proteasome functions in nucleotide excision repair independent of proteolysis.",PMID: 11410533 [PubMed - indexed for MEDLINE],,
"Mah AS, Jang J, Deshaies RJ.","Division of Biology and Howard Hughes Medical Institute, California Institute of Technology, Pasadena, CA 91125, USA.","Exit from mitosis in budding yeast requires inactivation of cyclin-dependent kinases through mechanisms triggered by the protein phosphatase Cdc14. Cdc14 activity, in turn, is regulated by a group of proteins, the mitotic exit network (MEN), which includes Lte1, Tem1, Cdc5, Cdc15, Dbf2/Dbf20, and Mob1. The direct biochemical interactions between the components of the MEN remain largely unresolved. Here, we investigate the mechanisms that underlie activation of the protein kinase Dbf2. Dbf2 kinase activity depended on Tem1, Cdc15, and Mob1 in vivo. In vitro, recombinant protein kinase Cdc15 activated recombinant Dbf2, but only when Dbf2 was bound to Mob1. Conserved phosphorylation sites Ser-374 and Thr-544 (present in the human, Caenorhabditis elegans, and Drosophila melanogaster relatives of Dbf2) were required for DBF2 function in vivo, and activation of Dbf2-Mob1 by Cdc15 in vitro. Although Cdc15 phosphorylated Dbf2, Dbf2-Mob1, and Dbf2(S374A/T544A)-Mob1, the pattern of phosphate incorporation into Dbf2 was substantially altered by either the S374A T544A mutations or omission of Mob1. Thus, Cdc15 promotes the exit from mitosis by directly switching on the kinase activity of Dbf2. We propose that Mob1 promotes this activation process by enabling Cdc15 to phosphorylate the critical Ser-374 and Thr-544 phosphoacceptor sites of Dbf2.",PMID: 11404483 [PubMed - indexed for MEDLINE],,
"Walhout AJ, Vidal M.","Dana-Farber Cancer Institute and Department of Genetics, Harvard Medical School, Boston, Massachusetts 02115, USA.","Protein-protein interactions play fundamental roles in many biological processes. Hence, protein interaction mapping is becoming a well-established functional genomics approach to generate functional annotations for predicted proteins that so far have remained uncharacterized. The yeast two-hybrid system is currently one of the most standardized protein interaction mapping techniques. Here, we describe the protocols for a semiautomated, high-throughput, Gal4-based yeast two-hybrid system. Copyright 2001 Academic Press.",PMID: 11403578 [PubMed - indexed for MEDLINE],,
"Toby GG, Golemis EA.","Division of Basic Science, Fox Chase Cancer Center, Philadelphia, Pennsylvania 19111, USA.","The detection of physical interaction between two or more molecules of interest can be facilitated if the act of association between the interactive partners leads to the production of a readily observed biological or physical readout. Many interacting molecule pairs (X, Y) can be made to induce such a readout if X and Y are each fused to defined protein elements with desired properties. For example, in the yeast forward two-hybrid system, X is synthesized as a translational fusion to a DNA-binding domain (DBD), Y is synthesized as a fusion to a transcriptional activation domain (AD), and coexpression of DBD-X and AD-Y induces transcription of easily scored responsive reporters. Other approaches use paradigms based on the artificial production of two, hybrid, molecules, but substitute a variety of readouts including the repression of transcription, activation of signal transduction pathways, or reconstitution of a disrupted enzymatic activity. In this article, we summarize a number of two-hybrid-based approaches, and detail the use of the forward yeast two-hybrid system in a screen to identify novel interacting partners for a protein of interest. Copyright 2001 Academic Press.","Publication Types: Review Review, Tutorial",PMID: 11403570 [PubMed - indexed for MEDLINE],
Sfl1 functions via the co-repressor Ssn6-Tup1 and the cAMP-dependent protein kinase Tpk2.,"Conlan RS, Tzamarias D.","Institute of Molecular Biology & Biotechnology-Foundation of Research & Technology, Vassilika Vouton, Heraklion, Crete, GR-711 10, Greece. r.s.conlan@swan.ac.uk","Ssn6 (Cyc8) is a component of the yeast general corepressor Ssn6-Tup1 that inhibits the transcription of many diversely regulated genes. The corepressor does not interact directly with DNA but is recruited to different promoters through interactions with distinct pathway-specific, DNA-binding repressor proteins. Using yeast two-hybrid and GST chromatography interaction experiments, we have determined that Sfl1, a novel repressor protein, interacts directly with Ssn6, and in vivo repression data suggest that Sfl1 inhibits transcription by recruiting Ssn6-Tup1 via a specific domain in the Sfl1 protein. Sin4 and Srb10, components of specific RNA polymerase II sub-complexes that are required for Ssn6-Tup1 repression activity, are found to be required for Sfl1 repression function. These results indicate a possible mechanism for Sfl1-mediated repression via Ssn6-Tup1 and specific subunits of the RNA polymerase II holoenzyme. Electrophoretic mobility shift and chromatin immuno-precipitation assays demonstrate that Sfl1 is present at the promoters of three Ssn6-Tup1-repressible genes; namely, FLO11, HSP26, and SUC2. Sfl1 is known to interact with Tpk2, a cAMP-dependent protein kinase that negatively regulates Sfl1 function. Consistently, we show that phosphorylation by protein kinase A inhibits Sfl1 DNA binding in vitro, and that a tpk2Delta mutation increases the levels of Sfl1 protein associated with specific promoter elements in vivo. These data indicate a possible mechanism for regulating Sfl1-mediated repression through modulation of DNA binding by cAMP-dependent protein kinase-dependent phosphorylation. Taken together with previous data, these new observations suggest a link between cAMP signaling and Ssn6-Tup1-mediated transcriptional repression. Copyright 2001 Academic Press.",PMID: 11399075 [PubMed - indexed for MEDLINE],
Multiplicity and regulation of genes encoding peptide transporters in Saccharomyces cerevisiae.,"Hauser M, Narita V, Donhardt AM, Naider F, Becker JM.","Department of Microbiology and Biochemistry, University of Tennessee, Knoxville, 37996-0845, USA.","The model eukaryote Saccharomyces cerevisiae has two distinct peptide transport mechanisms, one for di-/tripeptides (the PTR system) and another for tetra-/pentapeptides (the OPT system). The PTR system consists of three genes, PTR1, PTR2 and PTR3. The transporter (Ptr2p), encoded by the gene PTR2, is a 12 transmembrane domain (TMD) integral membrane protein that translocates di-/tripeptides. Homologues to Ptr2p have been identified in virtually all organisms examined to date and comprise the PTR family of transport proteins. In S. cerevisiae, the expression of PTR2 is highly regulated at the cellular level by complex interactions of many genes, including PTR1, PTR3, CUP9 and SSY1. Oligopeptides, consisting of four to five amino acids, are transported by the 12-14 TMD integral membrane protein Opt1p. Unlike Ptr2p, distribution of this protein appears limited to fungi and plants, and there appears to be three paralogues in S. cerevisiae. This transporter has an affinity for enkephalin, an endogenous mammalian pentapeptide, as well as for glutathione. Although it is known that OPT1 is normally expressed only during sporulation, to date little is known about the genes and proteins involved in the regulation of OPT1 expression.","Publication Types: Review Review, Tutorial",PMID: 11396605 [PubMed - indexed for MEDLINE]
173: Mol Cell Biol  2001 Jul;21(13):4233-45 ,New function of CDC13 in positive telomere length regulation.,"Meier B, Driller L, Jaklin S, Feldmann HM.","Institute for Biochemistry, University of Munich (LMU), D-81377 Munich, Germany.","Two roles for the Saccharomyces cerevisiae Cdc13 protein at the telomere have previously been characterized: it recruits telomerase to the telomere and protects chromosome ends from degradation. In a synthetic lethality screen with YKU70, the 70-kDa subunit of the telomere-associated Yku heterodimer, we identified a new mutation in CDC13, cdc13-4, that points toward an additional regulatory function of CDC13. Although CDC13 is an essential telomerase component in vivo, no replicative senescence can be observed in cdc13-4 cells. Telomeres of cdc13-4 mutants shorten for about 150 generations until they reach a stable level. Thus, in cdc13-4 mutants, telomerase seems to be inhibited at normal telomere length but fully active at short telomeres. Furthermore, chromosome end structure remains protected in cdc13-4 mutants. Progressive telomere shortening to a steady-state level has also been described for mutants of the positive telomere length regulator TEL1. Strikingly, cdc13-4/tel1Delta double mutants display shorter telomeres than either single mutant after 125 generations and a significant amplification of Y' elements after 225 generations. Therefore CDC13, TEL1, and the Yku heterodimer seem to represent distinct pathways in telomere length maintenance. Whereas several CDC13 mutants have been reported to display elongated telomeres indicating that Cdc13p functions in negative telomere length control, we report a new mutation leading to shortened and eventually stable telomeres. Therefore we discuss a key role of CDC13 not only in telomerase recruitment but also in regulating telomerase access, which might be modulated by protein-protein interactions acting as inhibitors or activators of telomerase activity.",PMID: 11390652 [PubMed - indexed for MEDLINE]
174: Mol Cell Biol  2001 Jul;21(13):4089-96 ,Phosphorylation of the RNA polymerase II carboxy-terminal domain by the Bur1 cyclin-dependent kinase.,"Murray S, Udupa R, Yao S, Hartzog G, Prelich G.","Department of Molecular Genetics, Albert Einstein College of Medicine, Bronx, New York 10461, USA.","BUR1, which was previously identified by a selection for mutations that have general effects on transcription in Saccharomyces cerevisiae, encodes a cyclin-dependent kinase that is essential for viability, but none of its substrates have been identified to date. Using an unbiased biochemical approach, we have identified the carboxy-terminal domain (CTD) of Rpb1, the largest subunit of RNA polymerase II, as a Bur1 substrate. Phosphorylation of Rpb1 by Bur1 is likely to be physiologically relevant, since bur1 mutations interact genetically with rpb1 CTD truncations and with mutations in other genes involved in CTD function. Several genetic interactions are presented, implying a role for Bur1 during transcriptional elongation. These results identify Bur1 as a fourth S. cerevisiae CTD kinase and provide striking functional similarities between Bur1 and metazoan P-TEFb.",PMID: 11390638 [PubMed - indexed for MEDLINE]
175: FEBS Lett  2001 Jun 1;498(1):46-51 ,Shy1p occurs in a high molecular weight complex and is required for efficient assembly of cytochrome c oxidase in yeast.,"Nijtmans LG, Artal Sanz M, Bucko M, Farhoud MH, Feenstra M, Hakkaart GA, Zeviani M, Grivell LA.","Section for Molecular Biology, Swammerdam Institute of Life Sciences, University of Amsterdam, The Netherlands. nijtmans@science.uva.nl","Surf1p is a protein involved in the assembly of mitochondrial respiratory chain complexes. However its exact role in this process remains to be elucidated. We studied SHY1, the yeast homologue of SURF1, with an aim to obtain a better understanding of the molecular pathogenesis of cytochrome c oxidase (COX) deficiency in SURF1 mutant cells from Leigh syndrome patients. Assembly of COX was analysed in a shy1 null mutant strain by two-dimensional polyacrylamide gel electrophoresis (2D-PAGE). Steady-state levels of the enzyme were found to be strongly reduced, the total amount of assembled complex being approximately 30% of control. The presence of a significant amount of holo-COX in the SHY1-disruptant strain suggests that Shy1p may either facilitate assembly of the enzyme, or increase its stability. However, our observations, based on 2D-PAGE analysis of mitochondria labelled in vitro, now provide the first direct evidence that COX assembly is impaired in a Deltashy1 strain. COX enzyme assembled in the absence of Shy1p appears to be structurally and enzymically normal. The in vitro labelling studies additionally indicate that mitochondrial translation is significantly increased in the shy1 null mutant strain, possibly reflecting a compensatory mechanism for reduced respiratory capacity. Protein interactions of both Shy1p and Surf1p are implied by their appearance in a high molecular weight complex of about 250 kDa, as shown by 2D-PAGE.",PMID: 11389896 [PubMed - indexed for MEDLINE]
176: Mol Cell  2001 May;7(5):1013-23 ,"Evolutionarily conserved interaction between CstF-64 and PC4 links transcription, polyadenylation, and termination.","Calvo O, Manley JL.","Department of Biological Sciences, Columbia University, New York, NY 10027, USA.","Tight connections exist between transcription and subsequent processing of mRNA precursors, and interactions between the transcription and polyadenylation machineries seem especially extensive. Using a yeast two-hybrid screen to identify factors that interact with the polyadenylation factor CstF-64, we uncovered an interaction with the transcriptional coactivator PC4. Both human proteins have yeast homologs, Rna15p and Sub1p, respectively, and we show that these two proteins also interact. Given evidence that certain polyadenylation factors, including Rna15p, are necessary for termination in yeast, we show that deletion or overexpression of SUB1 suppresses or enhances, respectively, both growth and termination defects detected in an rna15 mutant strain. Our findings provide an additional, unexpected connection between transcription and polyadenylation and suggest that PC4/Sub1p, via its interaction with CstF-64/Rna15p, possesses an evolutionarily conserved antitermination activity.",PMID: 11389848 [PubMed - indexed for MEDLINE]
177: J Biol Chem  2001 Aug 10;276(32):29782-91 ,Marked stepwise differences within a common kinetic mechanism characterize TATA-binding protein interactions with two consensus promoters.,"Powell RM, Parkhurst KM, Brenowitz M, Parkhurst LJ.","Department of Chemistry, University of Nebraska, Lincoln, Nebraska 68588-0304, USA.","Binding of the TATA-binding protein (TBP) to promoter DNA bearing the TATA sequence is an obligatory initial step in RNA polymerase II transcription initiation. The interactions of Saccharomyces cerevisiae TBP with the E4 (TATATATA) and adenovirus major late (TATAAAAG) promoters have been modeled via global analysis of kinetic and thermodynamic data obtained using fluorescence resonance energy transfer. A linear two-intermediate kinetic mechanism describes the reaction of both of these consensus strong promoters with TBP. Qualitative features common to both interactions include tightly bound TBP-DNA complexes with similar solution geometries, simultaneous DNA binding and bending, and the presence of intermediate TBP-DNA conformers at high mole fraction throughout most of the reaction and at equilibrium. Despite very similar energetic changes overall, the stepwise entropic and enthalpic compensations along the two pathways differ markedly following the initial binding/bending event. Furthermore, TBP-E4 dissociation ensues from both replacement and displacement processes, in contrast to replacement alone for TBP-adenovirus major late promoter. A model is proposed that explicitly correlates these similarities and differences with the sequence-specific structural properties inherent to each promoter. This detailed mechanistic comparison of two strong promoters interacting with TBP provides a foundation for subsequent comparison between consensus and variant promoter sequences reacting with TBP.",PMID: 11387341 [PubMed - indexed for MEDLINE]
